meter,Phase,status,Notes
10075387,C,0,Long term verified disconnected
10004608,C,0,Long term verified disconnected
10075081,C,0,Long term verified disconnected
10032703,C,0,Long term verified disconnected
10021551,C,0,Long term verified disconnected
10005124,C,0,Long term verified disconnected
10005075,C,0,Long term verified disconnected
10005660,C,0,Long term verified disconnected
10005998,C,0,Long term verified disconnected
10006613,B,0,Long term verified disconnected
10032567,C,0,Long term verified disconnected
10052953,C,0,Long term verified disconnected
10053742,C,0,Long term verified disconnected
10004139,C,0,Long term verified disconnected
10001868,C,0,Long term verified disconnected
10005309,C,0,Long term verified disconnected
10001954,C,0,Long term verified disconnected
10053707,C,0,Long term verified disconnected
10005209,C,0,Long term verified disconnected
10065210,C,0,Long term verified disconnected
10006942,C,0,Long term verified disconnected
10005916,C,0,Long term verified disconnected
10075418,C,0,Long term verified disconnected
10034363,C,0,Long term verified disconnected
10053676,C,0,Long term verified disconnected
10004694,C,0,Long term verified disconnected
10004176,C,0,Long term verified disconnected
10030919,C,0,Long term verified disconnected
10021402,C,0,Long term verified disconnected
10066140,C,0,Long term verified disconnected
10001582,C,0,Long term verified disconnected
10030187,C,0,Long term verified disconnected
10029358,C,0,Long term verified disconnected
10062244,C,0,Long term verified disconnected
10053073,C,0,Long term verified disconnected
10065922,C,0,Long term verified disconnected
10005784,C,0,Long term verified disconnected
10065559,C,0,Long term verified disconnected
10053777,C,0,Long term verified disconnected
10004061,C,0,Long term verified disconnected
10004526,C,0,Long term verified disconnected
10004583,C,0,Long term verified disconnected
10064226,C,0,Long term verified disconnected
10030003,C,0,Long term verified disconnected
10006221,C,0,Long term verified disconnected
10006309,C,0,Long term verified disconnected
10005343,C,0,Long term verified disconnected
10001395,C,0,Long term verified disconnected
10004157,C,0,Long term verified disconnected
10005081,C,0,Long term verified disconnected
10065737,C,0,Long term verified disconnected
10001355,C,0,Long term verified disconnected
10005564,C,0,Long term verified disconnected
10075271,C,0,Long term verified disconnected
10001593,C,0,Long term verified disconnected
10004172,C,0,Long term verified disconnected
10032766,C,0,Long term verified disconnected
10064422,C,0,Long term verified disconnected
10029812,C,0,Long term verified disconnected
10053860,C,0,Long term verified disconnected
10004789,B,0,Long term verified disconnected
10001508,C,0,Long term verified disconnected
10063946,C,0,Long term verified disconnected
10064483,C,0,Long term verified disconnected
10004153,C,0,Long term verified disconnected
10034404,C,0,Long term verified disconnected
10003800,C,0,Long term verified disconnected
10066544,C,0,Long term verified disconnected
10006477,C,0,Long term verified disconnected
10006600,C,0,Long term verified disconnected
10004871,C,0,Long term verified disconnected
10053463,C,0,Long term verified disconnected
10021411,C,0,Long term verified disconnected
10006908,C,0,Long term verified disconnected
10004737,C,0,Long term verified disconnected
10001529,C,0,Long term verified disconnected
10006974,C,0,Long term verified disconnected
10004174,C,0,Long term verified disconnected
10006857,C,0,Long term verified disconnected
10006910,C,0,Long term verified disconnected
10053331,C,0,Long term verified disconnected
10004616,C,0,Long term verified disconnected
10006553,C,0,Long term verified disconnected
10001523,C,0,Long term verified disconnected
10029722,C,0,Long term verified disconnected
10004129,C,0,Long term verified disconnected
10006360,C,0,Long term verified disconnected
10004039,C,0,Long term verified disconnected
10004523,C,0,Long term verified disconnected
10001427,C,0,Long term verified disconnected
10065155,C,0,Long term verified disconnected
10035728,C,0,Long term verified disconnected
10004816,C,0,Long term verified disconnected
10004814,C,0,Long term verified disconnected
10053367,C,0,Long term verified disconnected
10005820,C,0,Long term verified disconnected
10065021,C,0,Long term verified disconnected
10006642,C,0,Long term verified disconnected
10053122,C,0,Long term verified disconnected
10005854,C,0,Long term verified disconnected
10001321,C,0,Long term verified disconnected
10062276,C,0,Long term verified disconnected
10006366,C,0,Long term verified disconnected
10005008,C,0,Long term verified disconnected
10004644,C,0,Long term verified disconnected
10034378,C,0,Long term verified disconnected
10004223,B,0,Long term verified disconnected
10001862,C,0,Long term verified disconnected
10003616,C,0,Long term verified disconnected
10053290,C,0,Long term verified disconnected
10029507,C,0,Long term verified disconnected
10001955,C,0,Long term verified disconnected
10004486,C,0,Long term verified disconnected
10001448,C,0,Long term verified disconnected
10053291,C,0,Long term verified disconnected
10075157,C,0,Long term verified disconnected
10004055,C,0,Long term verified disconnected
10021397,C,0,Long term verified disconnected
10004688,C,0,Long term verified disconnected
