icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0000010091WE9E4,10027002,T1246-U04,T1246,2022-05-01 00:00:00,2022-10-06 00:00:00,tx change
0000010091WE9E4,10027002,T7594-U05,T7594,2022-10-06 00:00:00,,
0000010148WE3F3,10040167,T6282-U02,T6282,2022-05-01 00:00:00,2023-09-13 00:00:00,tx change
0000010148WE3F3,10040167,T2253-U03,T2253,2023-09-13 00:00:00,,
0000010181WEA4D,10011167,T1028-U04,T1028,2022-05-01 00:00:00,2023-06-30 00:00:00,tx change
0000010181WEA4D,10011167,T5047-U01,T5047,2023-06-30 00:00:00,,
0000010237WEA73,10066075,T7381-U01,T7381,2022-05-01 00:00:00,2023-07-29 00:00:00,Meter change
0000010237WEA73,10075081,T7381-U01,T7381,2023-07-29 00:00:00,,
0000010288WE71F,10051410,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0000010288WE71F,10051410,T7707-U03,T7707,2023-08-17 00:00:00,,
0000010304WE84F,10062993,T7290-U01,T7290,2022-05-01 00:00:00,2022-09-21 00:00:00,tx change
0000010304WE84F,10062993,T6582-U01,T6582,2022-09-21 00:00:00,,
0000010339WE0EC,10005818,T6033-U01,T6033,2022-05-01 00:00:00,2023-06-14 00:00:00,Meter change
0000010339WE0EC,10075196,T6033-U01,T6033,2023-06-14 00:00:00,,
0000010456WEFC0,10002040,T321-U01,T321,2022-05-01 00:00:00,2022-09-08 00:00:00,tx change
0000010456WEFC0,10063908,T321-U01,T321,2022-05-01 00:00:00,2022-09-08 00:00:00,tx change
0000010456WEFC0,10002040,T7593-U01,T7593,2022-09-08 00:00:00,,
0000010456WEFC0,10063908,T7593-U01,T7593,2022-09-08 00:00:00,,
0000010513WE92E,10059543,T1947-U01,T1947,2022-05-01 00:00:00,2023-04-12 00:00:00,tx change
0000010513WE92E,10059543,T7644-U01,T7644,2023-04-12 00:00:00,2023-08-17 00:00:00,tx change
0000010513WE92E,10059543,T7707-U02,T7707,2023-08-17 00:00:00,,
0000010596WE12B,,T4090-U01,T4090,2022-05-01 00:00:00,2023-04-06 00:00:00,tx change
0000010596WE12B,,T7406-U05,T7406,2023-04-06 00:00:00,,
0000010606WEDCF,10025500,T2019-U03,T2019,2022-05-01 00:00:00,2023-12-05 00:00:00,tx change
0000010606WEDCF,10025500,T2347-U04,T2347,2023-12-05 00:00:00,,
0000010638WE9AC,10051351,T3745-U04,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0000010638WE9AC,10051351,T7707-U03,T7707,2023-08-17 00:00:00,,
0000010753WE18C,10059575,T3745-U02,T3745,2022-05-01 00:00:00,2023-08-17 00:00:00,tx change
0000010753WE18C,10059575,T7707-U01,T7707,2023-08-17 00:00:00,,
0000010773WECD9,10005751,T6167-U02,T6167,2022-05-01 00:00:00,2022-08-30 00:00:00,meter change
0000010773WECD9,10066674,T6167-U02,T6167,2022-08-30 00:00:00,,
0000010778WE20D,10049715,T975-U04,T975,2022-05-01 00:00:00,2022-09-21 00:00:00,tx change
0000010778WE20D,10049715,T3954-U02,T3954,2022-09-21 00:00:00,,
0000010789WEE5F,,T754-U02,T754,2022-05-01 00:00:00,2023-07-16 00:00:00,tx change
