"conductortype","ac_line_segment_per_meter_positive_sequence_impedance_r","ac_line_segment_per_meter_positive_sequence_impedance_x","ac_line_segment_per_meter_zero_sequence_impedance_r","ac_line_segment_per_meter_zero_sequence_impedance_x"
"1 - 3x16mm2 Cu N/S PVC","0.00147","0.00147","0.00147","0.00147"
NULL,"9999","9999","9999","9999"
"Cu Bus Bar","0.000001","0.000001","0.000001","0.000001"
"1 - 1x16mm2 Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"16mm2 Cu Bare","0.00149","0.00038","0.00149","0.00038"
"OH Unknown","0.0016986","0.0004128","0.0016986","0.0004128"
"25mm2 Cu Bare","0.000886","0.00038","0.000886","0.00038"
"16mm2 Cu PVC","0.00149","0.00038","0.00149","0.00038"
"1 - 4x35mm2 Al ABC PVC","0.00108","0.0000982","0.00108","0.0000982"
"Copper Light","0.0016986","0.0004128","0.0016986","0.0004128"
"1 - 4x95mm2 Al XLPE HDPE","0.000411","0.000112","0.000411","0.000112"
"ABC Medium","0.000796","0.0000924","0.000796","0.0000924"
"1 - 4x95mm2 Al XLPE PVC","0.000411","0.000112","0.000411","0.000112"
"1 - 3x25mm2 Cu N/S PVC","0.000927","0.000141","0.000927","0.000141"
"UG Unknown","0.00147","0.000151","0.00147","0.000151"
"1 - 4x70mm2 Al XLPE PVC","0.000568","0.000119","0.000568","0.000119"
"1 - 1x6mm2 (Orange thick walled cable) PVC","0.00393","0.0000887","0.00393","0.0000887"
"4 - 1x150mm2 Al XLPE PVC","0.000265","0.0000943","0.000265","0.0000943"
"4 - 1x95mm2 Al XLPE PVC","0.000411","0.000112","0.000411","0.000112"
"UDOS Service","0.00149","0.00038","0.00149","0.00038"
"40mm2 (6/3.00mm+1/3.00mm) Ferret ACSR Bare","0.0008267","0.0003977","0.0008267","0.0003977"
"35mm2 Cu PVC","0.000956","0.0004662","0.000956","0.0004662"
"4 - 1x70mm2 Al XLPE PVC","0.000488","0.0004547","0.000488","0.0004547"
"1 - 1x25mm2 Cu N/S PVC","0.000927","0.000141","0.000927","0.000141"
"70mm2 Cu PVC","0.000342","0.000106","0.000342","0.000106"
"25mm2 Cu PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 2x16mm2 Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"106mm2 (19/0.105in) Beetle AAC PVC","0.0003309","0.0003468","0.0003309","0.0003468"
"1 - 2x16mm2 Cu HD Trurip PVC","0.00147","0.000151","0.00147","0.000151"
"4 - 1x65mm2 (19/0.083in) Al PVC","0.000568","0.000119","0.000568","0.000119"
"10mm2 Cu PVC","0.00233","0.00038","0.00233","0.00038"
"1 - 1x6mm2 (7/0.044in) Cu (TPS) PVC PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 4x185mm2 Al XLPE PVC","0.000211","0.000103","0.000211","0.000103"
"1 - 1x16mm2 Cu HD Trurip PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 3x10mm2 Cu HD N/S PVC","0.00233","0.000122","0.00233","0.000122"
"Aluminium Light","0.00154","0.00038","0.00154","0.00038"
"1 - 2x2.5mm2 + E Cu (TPS) PVC PVC","0.00945","0.000102","0.00945","0.000102"
"1 - 1x10mm2 Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 2x10mm2 Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 2x33mm2 (7/0.052in) Cu N/S PVC","0.000668","0.000117","0.000668","0.000117"
"124mm2 (7/4.75mm) Iodine AAAC Bare","0.0002935","0.0003451","0.0002935","0.0003451"
"1 - 1x16mm2 Cu HD N/S PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x35mm2 Al","0.00111","0.000132","0.00111","0.000132"
"1 - 4x185mm2 Cu PVC","0.000127","0.0000914","0.000127","0.0000914"
"25mm2 (6/2.36mm+1/2.36mm) Gopher ACSR Bare","0.0013306","0.0004126","0.0013306","0.0004126"
"4 - 1x25mm2 (19/0.052in) Cu PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 1x25mm2 Cu (TPS) PVC PVC","0.000927","0.000141","0.000927","0.000141"
"Copper Medium","0.0004932","0.0004662","0.0004932","0.0004662"
"1 - 4x16mm2 Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"62mm2 (6/3.66mm+1/3.66mm) Mink ACSR Bare","0.0005093","0.0003757","0.0005093","0.0003757"
"4 - 1x35mm2 Al XLPE PVC","0.00111","0.000132","0.00111","0.000132"
"25mm2 (7/0.080in) Cu Bare","0.000886","0.00038","0.000886","0.00038"
"1 - 4x95mm2 Al ABC PVC","0.000398","0.0000868","0.000398","0.0000868"
"1 - 4x300mm2 Al XLPE PVC","0.00013","0.0000959","0.00013","0.0000959"
"1 - 1x2.5mm2 Cu N/S PVC","0.00945","0.000102","0.00945","0.000102"
"Aluminium Medium","0.0008267","0.0003977","0.0008267","0.0003977"
"ABC Light","0.00108","0.0000982","0.00108","0.0000982"
"1 - 3x16mm2 Cu HD N/S PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 1x6mm2 Cu N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"4 - 1x40mm2 (7/0.110in) Al PVC","0.000957","0.000105","0.000957","0.000105"
"1 - 3x50mm2 Cu N/S PVC","0.000494","0.000112","0.000494","0.000112"
"1 - 1x10mm2 (7/0.052in) Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 2x2.5mm2 Cu N/S PVC","0.00945","0.000102","0.00945","0.000102"
"4 - 1x240mm2 (0.358in2) Al XLPE PVC","0.000161","0.0000987","0.000161","0.0000987"
